V5001,V5002,V5003,case_number,V5005,V5006,V5007,V5008,V5009,V5010,V5011
5,1,AL0011200,2W1I0U727LJ4,20160127,0, , , ,1, 
5,1,AL0011200,2W1I0U727N2D,20160125,1,32,F,W,1, 
5,1,AL0011200,2W1I0U727NTD,20160125,1,19,F,W,1, 
5,1,AL0011200,2W1I0U727NX,20160125,1,79,M,A,1, 
5,1,AL0011200,2W1I0U727NXI,20160125,0, , , ,1, 
5,1,AL0011200,2W1I0U727X6,20160127,1,16,M,W,1, 
5,1,AL0011200,2W1I0U727X6D,20160116,1,28,F,W,1, 
5,1,AL0011200,2W1I0U727XX8,20160127,1,25,M,W,1, 
5,1,AL0011200,2W1I0U727YBD,20160101,1,34,F,B,1, 
5,1,AL0011200,2W1I0U727YTO,20160126,0, , , ,1, 
5,1,AL0011200,2W1I0U728488,20160103,1,33,M,W,1, 
5,1,AL0011200,2W1I0U72860N,20160101,1,45,M,B,2, 
5,1,AL0011200,2W1I0U72860N,20160101,2,29,F,A, , 
5,1,AL0011200,2W1I0U7286BW,20160101,1,17,M,W,1, 
5,1,AL0011200,2W1I0U7286K8,20160102,1,19,F,W,1, 
5,1,AL0011200,2W1I0U7286X8,20160101,0, , , ,1, 
5,1,AL0011200,2W1I0U7287B4,20160102,0, , , ,1, 
5,1,AL0011200,2W1I0U7287BI,20160102,1,21,F,W,1, 
5,1,AL0011200,2W1I0U7287J8,20160102,0, , , ,1, 
5,1,AL0011200,2W1I0U7287K,20160102,0, , , ,1, 
5,1,AL0011200,2W1I0U7287TX,20160102,1,49,M,W,1, 
5,1,AL0011200,2W1I0U728C24,20160102,1,57,F,W,1, 
5,1,AL0011200,2W1I0U728C2I,20160103,1,25,M,B,1, 
5,1,AL0011200,2W1I0U728C6D,20160103,1,49,M,B,1, 
5,1,AL0011200,2W1I0U728CTD,20160103,0, , , ,1, 
5,1,AL0011200,2W1I0U728CTI,20160103,0, , , ,1, 
5,1,AL0011200,2W1I0U728CX4,20160102,0, , , ,1, 
5,1,AL0011200,2W1I0U728CXN,20160103,1,19,M,B,1, 
5,1,AL0011200,2W1I0U728GBI,20160101,0, , , ,1, 
5,1,AL0011200,2W1I0U728GTR,20160101,1,16,F,W,2, 
5,1,AL0011200,2W1I0U728GTR,20160101,2,17,F,W, , 
5,1,AL0011200,2W1I0U728L W,20160104,1,21,F,W,2, 
5,1,AL0011200,2W1I0U728L W,20160104,2,26,F,W, , 
5,1,AL0011200,2W1I0U728L0N,20160103,1,39,M,B,2, 
5,1,AL0011200,2W1I0U728L0N,20160103,2,34,F,B, , 
